dt,open,high,low,close,volume,Rsi7,Rsi14,Rsi26,ema7,ema12,ema26,sma7,sma14,sma26,bollup,bolldown,sma20,macd
2/16/2022,44544.85,44549.97,43307.0,43873.56,28471.87,63.61,59.1,52.06,43013.58,42600.32,41838.2,43013.58,42391.03,41838.2,46521.29,35861.01,41191.15,762.1200000000026
2/17/2022,43873.56,44164.71,40073.21,40515.7,47245.99,38.28,45.44,45.39,42587.9,42279.6,41740.24,42587.9,42140.99,41740.24,46418.59,36243.63,41331.11,539.3600000000006
2/18/2022,40515.71,40959.88,39450.0,39974.44,43845.92,35.62,43.69,44.43,42245.15,41924.95,41609.45,42245.15,41852.12,41609.45,46333.47,36509.51,41421.49,315.5
2/19/2022,39974.45,40444.32,39639.03,40079.17,18042.06,36.61,44.14,44.67,41939.62,41640.98,41496.1,41939.62,41615.73,41496.1,46202.36,36860.36,41531.36,144.88000000000466
2/20/2022,40079.17,40125.44,38000.0,38386.89,33439.29,28.34,38.76,41.71,41415.79,41140.34,41265.8,41415.79,41185.23,41265.8,46209.54,36845.18,41527.36,-125.4600000000064
2/21/2022,38386.89,39494.35,36800.0,37008.16,62347.68,23.33,35.02,39.49,40626.11,40504.6,40950.44,40626.11,40628.3,40950.44,46393.1,36492.98,41443.04,-445.8400000000038
2/22/2022,37008.16,38429.0,36350.0,38230.33,53785.95,35.18,40.5,42.32,39724.04,40154.7,40748.96,39724.04,40308.58,40748.96,46232.58,36786.9,41509.74,-594.260000000002
2/23/2022,38230.33,39249.93,37036.79,37250.01,43560.73,30.74,37.75,40.73,38777.81,39707.81,40489.79,38777.81,39900.78,40489.79,46241.1,36772.22,41506.66,-781.9800000000032
2/24/2022,37250.02,39843.0,34322.28,38327.21,120476.29,40.39,42.38,43.17,38465.17,39495.4,40329.61,38465.17,39690.98,40329.61,46287.09,36401.53,41344.31,-834.2099999999991
2/25/2022,38328.68,39683.53,38014.37,39219.17,56574.57,47.47,45.97,45.11,38357.28,39452.9,40247.36,38357.28,39628.07,40247.36,46269.26,36203.02,41236.14,-794.4599999999991
2/26/2022,39219.16,40348.45,38573.18,39116.72,29361.26,46.72,45.62,44.92,38219.78,39401.18,40163.61,38219.78,39559.89,40163.61,46161.15,35984.71,41072.93,-762.4300000000003
2/27/2022,39116.73,39855.7,37000.0,37699.07,46229.45,37.3,40.95,42.44,38121.52,39139.31,39981.06,38121.52,39311.79,39981.06,45892.04,35639.72,40765.88,-841.75
2/28/2022,37699.08,44225.84,37450.17,43160.0,73945.64,67.11,58.54,52.87,39000.36,39757.89,40216.52,39000.36,39824.87,40216.52,45743.19,35700.27,40721.73,-458.6299999999974
3/1/2022,43160.0,44949.0,42809.98,44421.2,61743.1,70.85,61.4,54.84,39884.77,40475.34,40527.96,39884.77,40437.7,40527.96,45753.08,35695.24,40724.16,-52.62000000000262
3/2/2022,44421.2,45400.0,43334.09,43892.98,57782.65,67.12,59.54,53.86,40833.76,41001.14,40777.21,40833.76,40898.39,40777.21,45821.97,35666.09,40744.03,223.9300000000003
3/3/2022,43892.99,44101.12,41832.28,42454.0,50940.61,57.51,54.7,51.27,41423.31,41224.66,40901.41,41423.31,41105.8,40901.41,45831.53,35664.57,40748.05,323.25
3/4/2022,42454.0,42527.3,38550.0,39148.66,61964.68,41.56,45.54,45.98,41413.23,40905.27,40771.58,41413.23,40844.85,40771.58,45676.57,35512.61,40594.59,133.68999999999505
3/5/2022,39148.65,39613.24,38407.59,39397.96,30363.13,42.96,46.28,46.41,41453.41,40673.37,40669.84,41453.41,40651.94,40669.84,45521.98,35401.62,40461.8,3.530000000006112
3/6/2022,39397.97,39693.87,38088.57,38420.81,39677.26,38.74,43.79,44.94,41556.52,40326.81,40503.25,41556.52,40354.46,40503.25,45295.74,35216.34,40256.04,-176.44000000000233
3/7/2022,38420.8,39547.57,37155.0,37988.0,63994.12,36.87,42.7,44.3,40817.66,39966.98,40316.95,40817.66,40038.94,40316.95,44635.26,35221.14,39928.2,-349.9699999999939
3/8/2022,37988.01,39362.08,37867.65,38730.63,55583.07,42.43,45.23,45.69,40004.72,39776.77,40199.45,40004.72,39864.5,40199.45,44018.82,35323.3,39671.06,-422.6800000000003
3/9/2022,38730.63,42594.06,38656.45,41941.71,67392.59,60.16,54.55,51.18,39725.97,40109.85,40328.5,39725.97,40141.45,40328.5,44193.96,35290.76,39742.36,-218.65000000000146
3/10/2022,41941.7,42039.63,38539.73,39422.0,71962.93,46.93,47.69,47.28,39292.82,40004.02,40261.36,39292.82,40045.53,40261.36,44167.13,35262.33,39714.73,-257.3400000000038
3/11/2022,39422.01,40236.26,38223.6,38729.57,59018.76,43.84,45.98,46.27,39232.95,39807.95,40147.9,39232.95,39870.07,40147.9,44117.27,35177.23,39647.25,-339.95000000000437
3/12/2022,38729.57,39486.71,38660.52,38807.36,24034.36,44.32,46.21,46.41,39148.58,39654.01,40048.61,39148.58,39728.38,40048.61,44117.24,35219.32,39668.28,-394.59999999999854
3/13/2022,38807.35,39310.0,37578.51,37777.34,32791.82,39.14,43.53,44.87,39056.66,39365.28,39880.38,39056.66,39468.25,39880.38,44071.38,35342.1,39706.74,-515.0999999999985
3/14/2022,37777.35,39947.12,37555.0,39671.37,46945.45,51.33,49.35,48.15,39297.14,39412.37,39864.9,39297.14,39495.33,39864.9,44088.03,35469.55,39778.79,-452.52999999999884
3/15/2022,39671.37,39887.61,38098.33,39280.33,46015.55,48.97,48.25,47.54,39375.67,39392.06,39821.6,39375.67,39466.66,39821.6,44031.48,35729.12,39880.3,-429.5400000000009
3/16/2022,39280.33,41718.0,38828.48,41114.0,88120.76,59.24,53.51,50.58,39257.42,39656.98,39917.33,39257.42,39686.3,39917.33,44138.28,35901.0,40019.64,-260.34999999999854
3/17/2022,41114.01,41478.82,40500.0,40917.9,37189.38,57.79,52.89,50.26,39471.12,39850.97,39991.44,39471.12,39850.51,39991.44,44223.76,35985.4,40104.58,-140.47000000000116
3/18/2022,40917.89,42325.02,40135.04,41757.51,45408.01,62.39,55.27,51.64,39903.69,40144.29,40122.25,39903.69,40104.77,40122.25,44391.62,36081.62,40236.62,22.040000000000873
3/19/2022,41757.51,42400.0,41499.29,42201.13,29067.18,64.75,56.53,52.37,40388.51,40460.73,40276.23,40388.51,40384.28,40276.23,44524.68,36398.76,40461.72,184.5
3/20/2022,42201.13,42296.26,40911.0,41262.11,30653.33,56.04,53.13,50.69,40886.34,40584.02,40349.25,40886.34,40501.32,40349.25,44249.07,36484.59,40366.83,234.7699999999968
3/21/2022,41262.11,41544.22,40467.94,41002.25,39426.25,53.71,52.2,50.23,41076.46,40648.36,40397.62,41076.46,40568.11,40397.62,43597.8,36793.96,40195.88,250.73999999999796
3/22/2022,41002.26,43361.0,40875.51,42364.13,59454.94,63.1,56.51,52.59,41517.0,40912.33,40543.28,41517.0,40807.57,40543.28,43227.6,37011.28,40119.44,369.0500000000029
3/23/2022,42364.13,43025.96,41751.47,42882.76,40828.87,66.15,58.07,53.46,41769.68,41215.48,40716.57,41769.68,41084.26,40716.57,43321.9,36959.86,40140.88,498.9100000000035
3/24/2022,42882.76,44220.89,42560.46,43991.46,56195.12,71.94,61.25,55.29,42208.76,41642.56,40959.14,42208.76,41471.88,40959.14,43958.8,36807.24,40383.02,683.4199999999983
3/25/2022,43991.46,45094.14,43579.0,44313.16,54614.44,73.47,62.15,55.81,42573.86,42053.43,41207.57,42573.86,41850.71,41207.57,44575.86,36681.7,40628.78,845.8600000000006
3/26/2022,44313.16,44792.99,44071.97,44511.27,23041.62,74.48,62.72,56.14,42903.88,42431.57,41452.28,42903.88,42205.44,41452.28,45096.96,36769.64,40933.3,979.2900000000009
3/27/2022,44511.27,46999.0,44421.46,46827.76,41874.91,83.16,68.69,59.79,43698.97,43107.92,41850.44,43698.97,42821.73,41850.44,46065.91,36684.67,41375.29,1257.479999999996
3/28/2022,46827.76,48189.84,46663.56,47122.21,58949.26,83.97,69.36,60.22,44573.25,43725.52,42240.92,44573.25,43395.11,42240.92,46966.07,36623.67,41794.87,1484.5999999999985
